epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8914,0.61294,1.81577,0.85952,0.00333,1,0.73067,0.65616,0.49374,3.16792,0.81861,0.000653061,0.000653061,0.000653061
2,156.303,0.57758,0.93716,0.84513,1,0.87511,0.995,0.87917,0.51143,2.09438,0.83477,0.0012936,0.0012936,0.0012936
3,232.715,0.59018,0.82329,0.8577,0.99702,1,0.995,0.87545,0.51393,0.88614,0.82495,0.00190773,0.00190773,0.00190773
4,310.562,0.55276,0.69279,0.85252,0.99857,1,0.995,0.90188,0.4551,0.59916,0.81464,0.0018812,0.0018812,0.0018812
5,387.976,0.53184,0.58807,0.84786,0.99832,1,0.995,0.91549,0.41972,0.44605,0.81306,0.0018416,0.0018416,0.0018416
6,465.845,0.49482,0.50592,0.83329,0.96656,0.99107,0.99447,0.90721,0.4374,0.46366,0.8142,0.001802,0.001802,0.001802
7,543.753,0.4827,0.47376,0.83516,0.99752,1,0.995,0.90547,0.41557,0.41547,0.80622,0.0017624,0.0017624,0.0017624
8,622.214,0.47914,0.44177,0.83024,0.99876,1,0.995,0.91848,0.39858,0.35631,0.8025,0.0017228,0.0017228,0.0017228
9,699.444,0.46183,0.41831,0.8261,1,0.99854,0.995,0.90121,0.40556,0.36677,0.80702,0.0016832,0.0016832,0.0016832
10,776.592,0.44209,0.39929,0.82076,0.99943,1,0.995,0.92635,0.37875,0.31007,0.80481,0.0016436,0.0016436,0.0016436
11,849.504,0.42401,0.37559,0.81659,0.99946,1,0.995,0.93766,0.3553,0.28522,0.79704,0.001604,0.001604,0.001604
12,919.565,0.42317,0.36636,0.81611,0.99947,1,0.995,0.92886,0.35902,0.29255,0.79679,0.0015644,0.0015644,0.0015644
13,991.592,0.4155,0.35819,0.81992,0.99775,1,0.995,0.9418,0.33688,0.29572,0.79854,0.0015248,0.0015248,0.0015248
14,1063.41,0.40188,0.33991,0.8093,0.99882,1,0.995,0.93753,0.34735,0.27194,0.79797,0.0014852,0.0014852,0.0014852
15,1134.11,0.40695,0.34083,0.82367,0.99942,1,0.995,0.95476,0.31281,0.26267,0.79411,0.0014456,0.0014456,0.0014456
16,1204.25,0.42072,0.34224,0.81616,0.99921,1,0.995,0.96192,0.30831,0.26287,0.79217,0.001406,0.001406,0.001406
17,1274.24,0.39676,0.33129,0.8093,0.99944,1,0.995,0.94322,0.32357,0.27206,0.80168,0.0013664,0.0013664,0.0013664
18,1344.22,0.39732,0.32017,0.82024,0.99947,1,0.995,0.96157,0.32599,0.26565,0.7993,0.0013268,0.0013268,0.0013268
19,1413.8,0.37378,0.31118,0.80799,0.9995,1,0.995,0.95804,0.29671,0.25428,0.7938,0.0012872,0.0012872,0.0012872
20,1483.07,0.36621,0.30315,0.81434,0.99934,1,0.995,0.95505,0.32438,0.26063,0.79945,0.0012476,0.0012476,0.0012476
21,1553.42,0.36395,0.30091,0.8061,0.99907,1,0.995,0.9511,0.32568,0.25338,0.80011,0.001208,0.001208,0.001208
22,1626.59,0.36739,0.30679,0.81096,0.99945,1,0.995,0.95967,0.29208,0.23517,0.78852,0.0011684,0.0011684,0.0011684
23,1696.58,0.35312,0.29945,0.80799,0.99597,1,0.995,0.97078,0.28696,0.25392,0.79461,0.0011288,0.0011288,0.0011288
