epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56989,0.58467,0.99743,0.83045,0.92063,0.77273,0.8834,0.82107,0.47802,0.73034,0.81437,0.0001,0.0001,0.0001
2,9.24766,0.53311,0.51197,0.80701,0.81044,0.97205,0.9835,0.91746,0.43269,0.61381,0.81202,0.000215644,0.000215644,0.000215644
3,11.8808,0.52195,0.41136,0.79217,0.93402,1,0.99326,0.8803,0.47112,0.46995,0.80995,0.000326536,0.000326536,0.000326536
4,14.3539,0.55046,0.3774,0.80787,0.98823,1,0.995,0.91159,0.44268,0.32056,0.80657,0.000432676,0.000432676,0.000432676
5,16.8708,0.47959,0.35592,0.7844,0.99632,1,0.995,0.93299,0.38319,0.30895,0.80513,0.000534064,0.000534064,0.000534064
6,19.4447,0.48519,0.35468,0.78445,0.99626,1,0.995,0.93569,0.45944,0.35551,0.80955,0.0006307,0.0006307,0.0006307
7,22.0186,0.48262,0.36106,0.79067,0.99476,1,0.995,0.93836,0.37925,0.34137,0.80546,0.000722584,0.000722584,0.000722584
8,24.4569,0.47492,0.34012,0.8154,0.99726,1,0.995,0.96228,0.38359,0.30741,0.80345,0.000809716,0.000809716,0.000809716
9,26.9454,0.49087,0.3585,0.80449,0.99785,1,0.995,0.90101,0.44039,0.31917,0.80723,0.000892096,0.000892096,0.000892096
10,29.374,0.47919,0.3298,0.78893,0.99727,1,0.995,0.93041,0.43146,0.31544,0.80583,0.000969724,0.000969724,0.000969724
11,31.8586,0.47057,0.31572,0.7991,0.9953,1,0.995,0.92624,0.4203,0.32164,0.80449,0.0010426,0.0010426,0.0010426
12,34.3502,0.47073,0.32691,0.7988,0.99289,1,0.995,0.92034,0.40364,0.30907,0.80638,0.00111072,0.00111072,0.00111072
